"","Post_ID","Cluster","Language","Ratio_Eng","Ratio_Ger"
"432","8204","2","German",0.052060737527115,0.411424439624006
"433","8243","2","German",0.0340136054421769,0.418367346938776
"434","8304","2","German",0.0238095238095238,0.400352733686067
"435","8323","1","English",0.468606431852986,0.0306278713629403
"436","8357","2","German",0.0903703703703704,0.355555555555556
"437","8348","2","German",0.0154373927958834,0.445969125214408
"438","8431","2","German",0.0266666666666667,0.407407407407407
"439","8454","2","German",0.0424242424242424,0.354112554112554
"440","7660","2","German",0.0354243542435424,0.425830258302583
"441","8653","1","English",0.496669133974833,0.0310880829015544
"442","8675","2","German",0.0389057750759878,0.442553191489362
"443","8759","2","German",0.0272479564032698,0.348773841961853
"444","8723","1","English",0.437333333333333,0.0346666666666667
"445","8371","2","German",0.0605143721633888,0.444024205748865
"446","8923","2","German",0.0671855796804588,0.400655469070053
"447","8874","2","German",0.027511961722488,0.382775119617225
"448","9002","1","English",0.514814814814815,0.0592592592592593
"449","9011","2","German",0.0539568345323741,0.456834532374101
"450","9066","1","English",0.297931034482759,0.00827586206896552
"451","9096","2","German",0.0380577427821522,0.266404199475066
"452","9104","1","English",0.213921901528014,0.0118845500848896
"453","9118","2","German",0.0591805766312595,0.169954476479514
"454","9173","1","English",0.563636363636364,0.0303030303030303
"455","9304","1","English",0.450738916256158,0.0270935960591133
"456","9290","1","English",0.44415127528584,0.0316622691292876
"457","9246","2","German",0.052914798206278,0.343497757847534
"458","9477","2","German",0.0242914979757085,0.319838056680162
"459","9335","2","German",0.0175298804780877,0.383266932270916
"460","9393","1","English",0.498889711324944,0.0207253886010363
"461","9528","2","German",0.0325238508239376,0.315264527320035
"462","9450","1","English",0.413484971567831,0.0381803411860276
"463","9414","1","English",0.363232682060391,0.0239786856127886
"464","9346","2","German",0.0415627597672485,0.311720698254364
"465","9628","2","German",0.0393939393939394,0.375757575757576
"466","9424","1","English",0.428571428571429,0.0321428571428571
"467","9684","2","German",0.13,0.23875
"468","9693","2","German",0.0514851485148515,0.388118811881188
"469","9551","2","German",0.0205831903945112,0.497427101200686
"470","9656","2","German",0.136279926335175,0.329650092081031
"471","9778","1","English",0.55,0.0267857142857143
"472","9802","2","German",0.06,0.32
"473","8977","2","German",0.0333716915995397,0.351553509781358
"474","8774","1","English",0.423382519863791,0.025539160045403
"475","9853","1","English",0.579268292682927,0.0350609756097561
"476","9825","2","German",0.0412371134020619,0.391752577319588
"477","9838","2","German",0.0381679389312977,0.469465648854962
"478","9844","1","English",0.525925925925926,0.0555555555555556
"479","9808","2","German",0.0578512396694215,0.406611570247934
"480","9919","1","English",0.493827160493827,0.0493827160493827
"481","9922","2","German",0.032258064516129,0.397849462365591
"482","8785","2","German",0.0305732484076433,0.323566878980892
"483","8512","1","English",0.403508771929825,0.0112781954887218
"484","9972","2","German",0.0357142857142857,0.321428571428571
"485","9930","1","English",0.560129136400323,0.0306698950766747
"486","9999","1","English",0.491228070175439,0.0482456140350877
"487","10007","2","German",0.0451612903225806,0.448387096774194
